id_cliente,idade,regiao,categoria,renda_mensal,gastos_mensais,satisfacao
66,35,Sudeste,Premium,5898.08,2593.65,6.4
67,65,Sul,Premium,1200.0,3274.82,5.9
68,37,Sul,Intermediário,6585.68,1396.21,7.1
69,22,Centro-Oeste,Básico,4762.59,1788.21,8.1
70,42,Norte,Básico,5816.77,3075.44,5.2
71,60,Centro-Oeste,Intermediário,2370.19,734.46,6.6
72,28,Nordeste,Básico,2953.85,2519.31,9.3
73,42,Norte,Premium,4418.91,1087.18,5.7
74,24,Norte,Básico,4174.44,1871.73,8.4
75,54,Sudeste,Intermediário,4624.6,1630.17,6.5
76,43,Centro-Oeste,Premium,5826.77,1129.39,8.0
77,35,Centro-Oeste,Básico,1552.17,1111.83,8.7
78,30,Sudeste,Básico,5660.73,1993.49,8.2
79,47,Centro-Oeste,Intermediário,4212.42,2496.88,8.5
80,53,Sudeste,Intermediário,3894.33,1709.18,5.6
81,67,Norte,Básico,1993.33,1849.08,8.8
82,41,Sul,Intermediário,4954.57,2199.82,6.0
83,26,Centro-Oeste,Premium,1200.0,1119.87,7.6
84,62,Norte,Intermediário,5172.59,2317.78,7.6
85,51,Sul,Básico,1961.84,2373.54,7.9
86,55,Sudeste,Básico,4280.19,3622.54,7.7
87,23,Norte,Básico,4021.25,1536.73,6.0
88,34,Norte,Básico,5954.31,1479.34,5.3
89,58,Norte,Básico,3932.02,2338.28,8.4
90,62,Nordeste,Intermediário,3158.79,2373.37,7.5
91,41,Norte,Básico,3440.1,1425.44,8.8
92,60,Sudeste,Premium,6109.32,1517.79,7.1
93,62,Centro-Oeste,Básico,5004.45,2178.79,5.2
94,38,Sul,Básico,3621.56,1220.69,8.6
95,65,Sudeste,Intermediário,3845.33,1512.63,6.7
96,33,Sudeste,Premium,1849.23,1862.71,7.7
97,30,Centro-Oeste,Básico,4782.71,2497.16,6.3
98,54,Norte,Básico,1560.28,1376.78,9.5
99,51,Norte,Básico,5327.69,510.33,6.0
100,25,Sudeste,Intermediário,4392.93,458.38,6.7
101,62,Norte,Intermediário,7780.43,918.41,7.4
102,28,Norte,Básico,2549.8,880.78,5.7
103,60,Nordeste,Básico,4046.01,1691.77,7.7
104,18,Sul,Intermediário,6897.43,967.78,9.5
105,60,Centro-Oeste,Premium,5987.08,1308.07,6.5
106,59,Sudeste,Intermediário,3155.68,1258.14,7.8
107,59,Centro-Oeste,Intermediário,4535.95,1491.64,3.4
108,53,Norte,Básico,4203.0,2725.75,7.1
109,42,Nordeste,Básico,4622.93,2263.36,6.8
110,55,Norte,Básico,3151.98,1811.29,6.1
111,32,Sudeste,Intermediário,4066.02,1477.28,8.7
112,59,Norte,Premium,1802.92,1496.74,6.7
113,47,Nordeste,Premium,4402.69,2029.42,7.0
114,42,Sul,Premium,4875.03,2208.92,6.7
115,44,Centro-Oeste,Premium,3858.87,1164.67,4.5
116,48,Centro-Oeste,Premium,1777.42,1825.54,5.6
117,19,Centro-Oeste,Básico,5682.8,377.87,8.5
118,25,Sudeste,Básico,4746.79,1948.2,4.2
119,31,Nordeste,Básico,3110.98,2333.5,6.1
120,24,Sudeste,Intermediário,3779.1,1603.95,6.6
121,41,Sul,Básico,1949.0,3071.57,9.6
122,53,Centro-Oeste,Premium,2661.88,1183.13,8.3
123,52,Centro-Oeste,Intermediário,3393.28,1952.21,6.4
124,42,Norte,Intermediário,6042.63,1774.92,9.0
125,63,Nordeste,Básico,3240.74,1729.79,6.2
126,47,Sul,Básico,5160.32,1719.97,8.6
127,22,Centro-Oeste,Básico,3392.53,1874.97,5.3
128,58,Nordeste,Premium,4571.92,2393.57,8.7
129,48,Centro-Oeste,Intermediário,3987.91,2764.42,6.6
130,51,Centro-Oeste,Intermediário,5509.58,1798.42,5.8
131,47,Centro-Oeste,Básico,3397.78,2370.72,6.9
132,47,Sudeste,Básico,1841.21,1308.76,7.6
133,22,Nordeste,Básico,2127.08,2336.17,6.5
134,47,Sudeste,Intermediário,3402.18,1266.61,8.0
135,60,Centro-Oeste,Intermediário,2326.41,2563.46,6.4
136,34,Sul,Básico,4815.32,3347.45,8.1
137,49,Norte,Premium,3501.35,1714.54,7.8
138,19,Norte,Básico,7761.91,300.0,7.1
139,36,Centro-Oeste,Premium,1593.43,1416.35,6.6
140,41,Centro-Oeste,Básico,4505.45,2662.31,7.4
141,70,Sudeste,Básico,2508.07,2187.15,8.0
142,29,Centro-Oeste,Premium,3459.9,1974.24,10.0
143,32,Sul,Básico,4412.13,2506.07,8.5
144,39,Centro-Oeste,Básico,1200.0,2139.12,8.6
145,70,Norte,Básico,4555.24,2652.41,10.0
146,63,Norte,Básico,7054.36,2443.6,7.9
147,19,Sul,Intermediário,3519.84,2865.19,7.9
148,30,Norte,Premium,4589.71,2051.16,8.2
149,61,Sul,Premium,5737.38,2433.68,5.8
150,21,Nordeste,Básico,3954.07,1585.01,6.6
151,63,Norte,Intermediário,3328.56,1378.98,6.5
152,32,Nordeste,Básico,1200.0,2994.74,8.1
153,66,Sudeste,Básico,5161.49,1951.34,7.0
154,33,Centro-Oeste,Básico,4030.25,2363.42,7.4
155,41,Sudeste,Premium,2680.97,1886.62,8.7
156,53,Sudeste,Premium,4389.9,1389.44,8.4
157,24,Centro-Oeste,Intermediário,3324.48,1807.69,7.0
158,47,Sudeste,Intermediário,3407.36,2805.2,6.3
159,44,Sul,Intermediário,5109.44,2188.67,8.8
160,59,Centro-Oeste,Intermediário,2192.43,601.97,8.3
161,70,Norte,Intermediário,5770.97,1649.33,5.0
162,53,Centro-Oeste,Básico,2103.47,3047.61,6.8
163,39,Sul,Básico,3205.95,1650.34,7.4
164,39,Nordeste,Básico,7084.42,539.66,8.3
165,40,Sul,Premium,5891.03,3125.13,8.5
166,61,Centro-Oeste,Intermediário,4346.41,2277.67,7.6
167,35,Sudeste,Premium,2789.2,1750.99,8.0
168,26,Nordeste,Básico,3406.09,1540.01,7.3
169,35,Sul,Intermediário,4309.91,2557.65,6.3
170,19,Norte,Básico,4256.28,1420.61,6.8
171,23,Nordeste,Básico,4063.69,2603.78,7.2
172,22,Centro-Oeste,Básico,4153.75,2179.54,7.2
173,58,Centro-Oeste,Básico,3878.44,1971.28,4.6
174,56,Centro-Oeste,Premium,2037.03,1901.86,6.6
175,54,Norte,Básico,3425.23,1677.52,7.3
176,42,Nordeste,Intermediário,5571.94,2531.95,6.8
177,56,Norte,Intermediário,2147.5,1194.26,6.9
178,26,Centro-Oeste,Básico,3915.67,664.65,7.9
179,65,Nordeste,Intermediário,2970.37,2230.11,5.7
180,44,Centro-Oeste,Básico,4367.03,2241.87,4.9
181,67,Centro-Oeste,Premium,3617.05,2136.17,6.7
182,26,Sudeste,Premium,6416.09,2085.41,8.3
183,44,Centro-Oeste,Intermediário,4959.87,1575.62,9.6
184,54,Sudeste,Intermediário,2232.3,2351.24,8.3
185,44,Centro-Oeste,Básico,5206.84,1768.11,5.1
186,41,Sudeste,Premium,3038.02,1459.02,6.9
187,26,Sudeste,Básico,3334.51,1581.68,7.6
188,38,Nordeste,Básico,4670.73,3214.45,7.4
189,30,Nordeste,Básico,3462.38,585.52,8.0
190,33,Sudeste,Intermediário,5539.28,2149.85,5.9
191,54,Nordeste,Intermediário,3038.23,624.62,7.3
192,51,Centro-Oeste,Intermediário,3271.58,1724.24,7.8
193,50,Norte,Intermediário,3215.44,1496.46,8.4
194,37,Centro-Oeste,Básico,3351.54,340.48,6.1
195,68,Centro-Oeste,Premium,5848.79,2072.33,6.7
196,22,Sudeste,Básico,5143.19,1533.97,3.4
197,36,Centro-Oeste,Intermediário,6764.92,330.56,6.3
198,24,Nordeste,Básico,7601.47,2387.7,6.5
199,35,Sul,Premium,2653.92,2804.5,5.8
200,68,Centro-Oeste,Básico,4305.63,2843.09,7.4
201,37,Sul,Básico,2435.7,2051.27,7.1
202,66,Sudeste,Intermediário,3033.59,1832.24,4.0
203,44,Centro-Oeste,Básico,3254.88,2729.71,7.5
204,55,Sul,Básico,2614.27,2977.67,5.9
205,42,Norte,Intermediário,2622.17,2593.5,7.9
206,32,Sul,Básico,3983.57,1140.92,5.4
207,58,Sul,Premium,2374.92,1940.94,7.2
208,69,Centro-Oeste,Básico,5463.19,2107.66,6.8
209,31,Sudeste,Intermediário,2823.37,533.27,7.6
210,59,Centro-Oeste,Intermediário,8414.35,2128.55,7.4
211,31,Nordeste,Intermediário,3522.92,3391.09,6.8
212,55,Sudeste,Intermediário,4308.03,2247.96,5.0
213,59,Nordeste,Intermediário,2256.99,2831.39,5.1
214,41,Nordeste,Premium,6759.14,1928.04,6.4
215,57,Centro-Oeste,Básico,5879.25,1748.75,7.2
216,32,Sul,Básico,4645.37,2066.89,6.3
217,22,Nordeste,Intermediário,2179.8,1228.92,8.1
218,23,Centro-Oeste,Premium,4516.0,1125.36,6.8
219,41,Norte,Básico,2517.85,2686.41,5.8
220,65,Norte,Básico,6393.53,2760.64,6.8
221,24,Norte,Premium,5413.79,1106.23,7.5
222,42,Norte,Intermediário,4343.16,2477.6,7.7
223,55,Sul,Premium,1200.0,1739.13,9.8
224,28,Sul,Intermediário,2724.88,2037.87,6.3
225,56,Sul,Intermediário,5231.64,2122.15,7.1
226,34,Norte,Básico,6019.33,2496.05,7.8
227,60,Norte,Premium,5863.75,1857.9,7.2
228,48,Nordeste,Básico,1811.98,2787.11,6.5
229,46,Centro-Oeste,Intermediário,4652.33,2016.59,5.0
230,27,Nordeste,Básico,5723.27,2236.93,6.5
231,42,Centro-Oeste,Intermediário,1712.5,1216.72,5.7
232,63,Norte,Intermediário,4188.14,3311.06,4.8
233,19,Sudeste,Intermediário,4610.76,2128.88,6.1
234,58,Nordeste,Premium,3748.85,2299.1,5.7
235,44,Norte,Básico,1421.76,674.27,8.0
236,56,Sudeste,Intermediário,3711.45,1224.11,8.0
237,53,Sul,Básico,3709.04,2666.52,5.9
238,40,Norte,Básico,3977.89,2000.82,6.8
239,34,Centro-Oeste,Básico,3354.79,460.35,4.6
240,51,Sul,Básico,3535.48,2526.8,6.5
241,25,Sudeste,Básico,4140.44,1419.35,7.8
242,48,Sul,Intermediário,4863.68,2787.92,8.4
243,23,Centro-Oeste,Intermediário,3743.36,1738.52,6.2
244,52,Nordeste,Intermediário,3585.53,1943.29,8.7
245,51,Sudeste,Básico,4338.53,2625.27,5.1
246,22,Norte,Básico,1318.63,1171.75,5.5
247,58,Nordeste,Básico,4915.55,1105.01,8.2
248,40,Sudeste,Intermediário,4199.16,1662.45,9.5
249,59,Sudeste,Premium,4259.54,2379.02,7.9
250,20,Norte,Básico,5641.1,868.39,7.1
251,27,Centro-Oeste,Intermediário,1270.78,632.38,4.1
252,44,Nordeste,Básico,1239.25,2376.6,4.4
253,27,Centro-Oeste,Básico,4610.71,1377.92,7.4
254,35,Sul,Básico,4189.32,1525.44,6.7
255,53,Norte,Básico,4455.27,500.23,5.7
256,25,Sul,Intermediário,3506.81,1324.71,7.3
257,53,Centro-Oeste,Premium,5196.53,1794.7,7.4
258,23,Sudeste,Básico,5598.96,2451.26,8.5
259,27,Centro-Oeste,Intermediário,4925.97,1260.14,7.4
260,49,Nordeste,Intermediário,3808.76,2960.16,8.9
261,60,Sudeste,Premium,1200.0,1320.81,7.2
262,27,Sudeste,Intermediário,5353.85,1321.84,7.0
263,33,Norte,Básico,6032.59,2876.15,8.7
264,67,Sudeste,Intermediário,5166.84,1948.02,5.8
265,70,Sudeste,Básico,2880.54,1413.58,10.0
266,48,Nordeste,Premium,5210.69,1691.41,7.7
267,41,Sul,Básico,5490.79,2747.15,7.7
268,36,Sudeste,Intermediário,6538.22,2826.34,7.9
269,50,Nordeste,Básico,2885.84,1228.24,9.8
270,49,Norte,Básico,3860.32,1770.3,8.3
271,33,Sudeste,Premium,5320.91,1863.11,5.0
272,19,Nordeste,Intermediário,4286.12,1109.63,9.2
273,26,Sudeste,Básico,2524.01,1761.02,6.7
274,68,Centro-Oeste,Premium,4821.92,1803.73,7.4
275,40,Centro-Oeste,Premium,5067.99,2598.15,5.4
276,43,Norte,Básico,4331.94,2645.2,7.9
277,42,Sudeste,Intermediário,4529.38,1569.55,6.3
278,59,Norte,Intermediário,3811.94,1650.23,7.3
279,21,Centro-Oeste,Intermediário,6417.42,2265.0,6.8
280,22,Sul,Básico,2848.96,1390.37,9.9
281,32,Sul,Básico,3319.02,2212.05,10.0
282,43,Sul,Premium,4216.48,1738.47,7.3
283,53,Sul,Premium,5518.43,1121.42,7.3
284,44,Centro-Oeste,Premium,1953.94,1130.21,6.7
285,41,Nordeste,Premium,2234.55,2812.94,8.7
286,67,Sul,Intermediário,1200.0,1690.5,6.7
287,26,Sul,Intermediário,4249.04,2948.25,6.6
288,48,Sul,Intermediário,2522.54,1440.45,8.6
289,46,Sudeste,Intermediário,3623.17,2003.84,6.4
290,43,Norte,Intermediário,5192.07,3474.87,7.1
291,60,Centro-Oeste,Básico,3237.69,1059.83,5.0
292,32,Centro-Oeste,Intermediário,4546.92,471.53,8.2
293,68,Sul,Básico,3750.99,2700.61,9.9
294,35,Nordeste,Básico,5208.17,1221.23,8.2
295,46,Nordeste,Intermediário,4912.69,1785.51,9.2
296,45,Norte,Básico,3162.1,1389.86,6.0
297,63,Sul,Básico,3947.02,1987.71,7.5
298,41,Sudeste,Premium,5765.62,1134.62,5.9
299,33,Norte,Premium,4790.07,1674.04,6.9
300,19,Centro-Oeste,Básico,2104.56,2114.87,8.3
301,37,Centro-Oeste,Básico,5183.43,1094.18,7.3
302,61,Centro-Oeste,Básico,2573.08,1309.94,5.2
303,18,Sul,Intermediário,6318.77,1556.83,5.4
304,65,Norte,Premium,5736.15,799.83,5.3
305,46,Nordeste,Básico,4634.83,1504.21,7.9
306,25,Norte,Intermediário,4435.85,1883.16,10.0
307,34,Nordeste,Básico,3886.45,1520.32,9.1
308,47,Sul,Básico,5217.79,1610.04,4.5
309,34,Sul,Premium,3643.83,1786.07,9.2
310,23,Norte,Básico,4553.35,1340.98,8.5
311,53,Sudeste,Básico,5507.9,2283.74,5.0
312,53,Nordeste,Básico,3357.29,2805.18,6.8
313,24,Norte,Intermediário,3275.71,1474.93,8.7
314,32,Nordeste,Premium,2408.45,2139.64,8.0
315,30,Norte,Premium,2603.29,1632.27,5.4
316,52,Centro-Oeste,Básico,1457.41,2055.84,8.1
317,56,Sul,Básico,5294.74,2896.05,4.2
318,56,Centro-Oeste,Intermediário,6913.37,2156.06,6.9
319,67,Sudeste,Básico,6337.99,558.61,8.8
320,58,Centro-Oeste,Premium,1760.87,2117.8,7.2
321,34,Norte,Intermediário,5287.28,2663.0,6.5
322,23,Norte,Básico,6333.16,1644.88,8.4
323,50,Nordeste,Premium,3514.79,2496.94,8.6
324,66,Nordeste,Básico,4352.17,1316.92,9.0
325,69,Sul,Básico,1200.0,760.12,8.4
326,30,Sul,Intermediário,4600.1,1898.82,8.7
327,30,Sul,Intermediário,2604.66,570.47,8.2
328,19,Sudeste,Intermediário,4499.45,1632.16,7.6
329,25,Centro-Oeste,Intermediário,1858.2,2700.79,7.3
330,47,Sudeste,Premium,5014.29,463.17,6.9
331,46,Centro-Oeste,Premium,5736.77,904.35,5.5
332,37,Sudeste,Intermediário,3025.23,1077.58,5.9
333,34,Sudeste,Básico,2494.62,1755.68,6.8
334,61,Sudeste,Intermediário,1200.0,1544.0,7.5
335,42,Sudeste,Premium,3800.38,2779.4,9.2
336,60,Norte,Básico,3327.61,2468.04,7.1
337,69,Sudeste,Intermediário,1873.47,2146.69,8.6
338,34,Nordeste,Básico,4879.53,1901.94,8.7
339,28,Sudeste,Básico,3525.04,2075.26,6.9
340,68,Centro-Oeste,Intermediário,2586.4,1196.61,8.0
341,51,Sul,Básico,3368.14,2400.05,6.9
342,33,Nordeste,Intermediário,5806.96,1021.57,9.1
343,50,Sul,Premium,5104.41,2384.76,8.1
344,45,Sul,Premium,4004.96,2630.3,5.5
345,65,Nordeste,Básico,5128.66,1947.61,7.4
346,31,Centro-Oeste,Básico,2458.63,1676.65,9.5
347,70,Centro-Oeste,Intermediário,4248.56,2080.22,6.9
348,67,Sudeste,Premium,4420.98,300.0,7.8
349,27,Sudeste,Intermediário,3495.25,2011.58,8.0
350,26,Sul,Premium,4853.19,1720.65,5.7
351,46,Nordeste,Básico,3029.35,1764.56,7.9
352,20,Centro-Oeste,Premium,4964.73,2294.57,5.2
353,33,Centro-Oeste,Básico,5027.79,1747.66,6.3
354,41,Sul,Básico,1200.0,1001.86,8.7
355,69,Nordeste,Intermediário,5985.46,1701.02,7.7
356,70,Centro-Oeste,Básico,1200.0,1847.29,6.8
357,26,Norte,Básico,3275.93,1880.45,7.8
358,65,Sul,Básico,5738.02,1913.34,7.1
359,22,Nordeste,Básico,3724.07,2527.56,7.2
360,57,Nordeste,Intermediário,2000.72,1039.78,8.1
361,62,Centro-Oeste,Básico,2559.39,1922.99,6.2
362,65,Centro-Oeste,Intermediário,5740.36,2702.95,7.3
363,29,Sul,Premium,1317.74,585.77,6.8
364,65,Centro-Oeste,Básico,5893.49,1925.75,5.0
365,24,Centro-Oeste,Básico,4117.35,1390.24,5.9
366,45,Norte,Premium,2411.41,1540.5,9.4
367,42,Norte,Premium,3325.33,1166.63,7.7
368,34,Nordeste,Intermediário,2674.16,1681.31,5.3
369,19,Sul,Premium,5499.34,3088.88,5.0
370,58,Sul,Básico,5298.64,914.9,7.0
371,35,Sudeste,Básico,1621.26,981.27,9.4
372,53,Sudeste,Intermediário,3594.61,888.65,6.9
373,39,Nordeste,Básico,2905.22,3009.19,9.0
374,37,Norte,Intermediário,6140.26,1476.36,7.7
375,64,Norte,Intermediário,2174.85,1782.05,7.9
376,23,Nordeste,Intermediário,6606.34,1518.05,5.3
377,57,Nordeste,Intermediário,4150.06,1138.9,8.5
378,57,Norte,Básico,2457.1,1635.39,6.7
379,38,Nordeste,Básico,3184.09,3520.77,8.4
380,31,Norte,Básico,2997.57,2774.45,6.1
381,18,Sudeste,Intermediário,2288.07,1202.94,7.4
382,67,Sul,Básico,4342.24,2253.3,7.7
383,68,Sudeste,Básico,2358.13,1217.93,7.0
384,30,Centro-Oeste,Básico,1200.0,556.54,7.8
385,19,Centro-Oeste,Básico,3630.49,2513.66,6.8
386,24,Nordeste,Premium,1495.72,2612.06,6.3
387,21,Norte,Básico,3071.76,2532.24,9.4
388,62,Centro-Oeste,Premium,2836.35,1471.09,8.7
389,65,Centro-Oeste,Básico,2893.18,1683.26,6.1
390,26,Norte,Intermediário,7201.44,2324.84,8.0
391,57,Centro-Oeste,Básico,4284.62,2074.05,6.2
392,27,Nordeste,Básico,4568.06,1524.45,5.5
393,37,Norte,Premium,1535.4,666.65,8.6
394,49,Sudeste,Premium,3219.06,1879.71,4.8
395,56,Centro-Oeste,Premium,4522.95,2555.31,8.5
396,64,Sudeste,Básico,2663.21,961.69,6.8
397,20,Sudeste,Básico,5562.09,2247.13,6.9
398,28,Sul,Intermediário,2395.96,2032.08,7.8
399,32,Sul,Básico,3770.45,2325.1,8.0
400,34,Sudeste,Intermediário,3320.92,2410.38,6.0
401,70,Sul,Intermediário,4446.48,1313.87,8.2
402,59,Centro-Oeste,Intermediário,3239.26,668.13,7.4
403,34,Sul,Premium,3793.66,1426.54,5.4
404,69,Sudeste,Intermediário,3845.8,2422.39,7.0
405,44,Sudeste,Básico,3098.42,1420.6,9.1
406,44,Sul,Básico,4927.64,1314.17,9.5
407,40,Centro-Oeste,Intermediário,4557.58,525.05,8.2
408,25,Sudeste,Intermediário,4067.08,3026.85,5.5
409,67,Nordeste,Básico,3554.31,2378.0,7.9
410,18,Sul,Básico,5394.82,2338.93,8.4
411,27,Sudeste,Intermediário,3846.25,2477.41,8.2
412,30,Sudeste,Premium,3739.95,2203.7,8.3
413,32,Centro-Oeste,Intermediário,4357.04,1628.97,7.7
414,24,Sul,Básico,6744.88,1685.37,7.1
415,18,Norte,Básico,2189.47,1500.7,6.3
416,53,Norte,Intermediário,5354.79,3644.32,4.5
417,69,Centro-Oeste,Básico,1360.24,2189.14,7.7
418,24,Sudeste,Intermediário,4525.91,1475.34,7.5
419,33,Sul,Intermediário,6562.62,2125.85,8.0
420,44,Centro-Oeste,Básico,4933.0,1092.39,5.3
421,67,Sudeste,Básico,4455.94,2853.15,8.1
422,54,Centro-Oeste,Básico,3359.33,1337.25,10.0
423,58,Sul,Premium,4246.57,2150.76,7.3
424,48,Sudeste,Intermediário,3821.91,2546.18,7.1
425,40,Centro-Oeste,Básico,3021.04,2069.34,7.6
426,28,Sul,Premium,3765.19,1866.13,10.0
427,63,Norte,Intermediário,4497.57,1807.56,5.8
428,60,Sul,Intermediário,3049.17,1760.49,7.5
429,19,Norte,Premium,2990.58,1396.31,6.1
430,55,Nordeste,Básico,2159.63,1485.36,6.4
431,22,Sul,Básico,4786.09,2835.71,7.1
432,57,Sudeste,Intermediário,5017.98,1724.02,9.1
433,61,Sul,Básico,4547.49,1249.94,9.7
434,24,Sudeste,Intermediário,5647.76,1438.59,7.8
435,40,Sudeste,Básico,4331.8,2570.26,6.7
436,24,Nordeste,Básico,4788.02,2272.92,10.0
437,48,Norte,Básico,4655.76,2192.23,6.6
438,67,Norte,Básico,4062.69,1619.74,6.4
439,22,Nordeste,Básico,3403.77,2201.35,4.7
440,39,Norte,Básico,7521.23,1349.51,9.2
441,69,Centro-Oeste,Premium,3522.07,1618.27,8.6
442,33,Sudeste,Básico,3201.18,2478.86,10.0
443,25,Sul,Básico,4851.01,2411.99,5.3
444,43,Centro-Oeste,Básico,4577.78,1112.66,9.2
445,44,Sul,Básico,2092.81,1201.13,7.3
446,53,Sul,Básico,5884.02,1876.09,8.3
447,34,Sul,Intermediário,4058.71,3008.29,4.9
448,68,Centro-Oeste,Básico,2533.6,459.1,9.3
449,45,Nordeste,Premium,5983.18,1994.83,8.3
450,33,Sul,Premium,5138.51,836.77,7.1
451,68,Nordeste,Básico,2303.19,1355.97,8.1
452,67,Centro-Oeste,Básico,6865.77,1544.9,6.1
453,44,Norte,Básico,5188.2,1505.64,6.4
454,19,Sudeste,Intermediário,4184.71,1426.34,6.6
455,49,Sudeste,Básico,6585.33,1805.04,4.6
456,47,Norte,Premium,4438.95,1425.32,8.4
457,25,Nordeste,Intermediário,4157.88,776.28,8.9
458,51,Centro-Oeste,Premium,3209.55,2345.91,6.2
459,62,Centro-Oeste,Intermediário,5072.78,2327.01,7.7
460,23,Sul,Premium,4914.9,2390.22,6.8
461,56,Nordeste,Básico,4222.02,721.49,7.7
462,25,Sul,Básico,3015.02,2009.24,6.3
463,57,Centro-Oeste,Básico,4394.89,2273.19,6.0
464,40,Sul,Premium,4095.3,1078.16,8.7
465,18,Nordeste,Intermediário,2199.79,1806.42,7.1
466,69,Norte,Premium,1992.28,1718.61,10.0
467,26,Norte,Básico,5047.73,3089.51,7.3
468,49,Nordeste,Premium,1200.0,3147.15,5.9
469,27,Sul,Intermediário,4508.12,634.95,8.9
470,67,Norte,Intermediário,3482.88,3545.75,8.1
471,57,Nordeste,Premium,6162.37,1159.34,8.2
472,60,Norte,Básico,3459.8,2486.47,8.9
473,40,Sul,Básico,5189.23,2479.35,6.3
474,42,Sudeste,Intermediário,3604.63,1103.02,7.0
475,51,Sudeste,Básico,4370.62,2145.29,7.0
476,59,Sudeste,Básico,5305.25,1724.73,5.4
477,62,Sudeste,Básico,3506.17,2188.03,6.8
478,18,Sudeste,Básico,5694.83,1961.47,9.1
479,53,Norte,Premium,2709.45,2637.44,7.5
480,23,Sul,Intermediário,4641.89,1852.78,5.3
481,33,Sudeste,Básico,5583.96,1682.49,5.0
482,61,Sudeste,Básico,5190.06,2567.24,9.5
483,31,Nordeste,Básico,7074.67,2206.28,7.1
484,60,Sul,Intermediário,3054.84,2312.27,6.3
485,42,Nordeste,Premium,2131.28,1334.79,6.8
486,30,Norte,Premium,2708.5,1068.32,5.1
487,35,Sul,Básico,5190.66,1402.59,9.2
488,46,Nordeste,Básico,4946.88,1365.43,6.6
489,58,Norte,Intermediário,4353.38,2350.34,9.1
490,50,Sudeste,Intermediário,2515.56,2483.19,7.3
491,67,Nordeste,Intermediário,5350.3,1691.41,9.2
